Algo_1,Algo_2,Algo_3,Algo_4,M,N,notes
0.483184814,0.473554373,0.51692915,0.724729776,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.339797974,0.510869026,0.618040085,0.483291149,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.563857555,0.227626085,0.446163177,0.703005791,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.499392271,0.423916578,0.618904829,0.717802286,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.80472827,0.773593903,0.658459187,0.706417799,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.622068882,0.310956717,0.529762268,0.457271099,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.425317526,0.835721254,0.536700487,0.489139557,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.282626867,2.447975159,0.542351484,0.525346041,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.30223918,0.56529665,0.368110657,0.393198967,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.672224998,0.36400032,0.594109297,0.54156518,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.419555187,2.209731579,0.565087795,0.473111629,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.456253767,0.285984755,0.511185884,0.435625315,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.481920958,0.789912701,0.483084917,0.47979641,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.48854804,0.440198898,0.497259855,0.490553617,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.482443571,0.580476284,0.520376444,0.496783733,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.506056786,0.722210169,0.568011284,0.578851938,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.266890287,0.385480404,0.539528131,0.586658001,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.756777287,0.288809299,0.746893406,0.734209061,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.495015383,0.428957462,0.520258665,0.460268021,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.502552509,0.803302288,0.563789368,0.489102125,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.476141214,0.593500614,0.45306921,0.506018639,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.493173361,0.499383211,0.53415513,0.520798922,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.452050924,1.201665401,0.559032202,0.551337004,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.784463644,0.396365404,0.587296247,0.59954381,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.461573362,0.34802866,0.491679192,0.41461277,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.555971384,0.374486208,0.543928146,0.553196669,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.502061844,0.46914506,0.641545296,0.462859154,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.654118061,0.798386574,0.727297783,0.567273617,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.512603998,0.715945244,0.513352156,0.415341854,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.479664803,0.572254419,0.534625292,0.510279417,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.467940569,2.364648104,0.629480839,0.543007612,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.47618866,0.695355654,0.623669386,0.4524405,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.655319452,0.474396467,0.601567268,0.672427416,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
